Article.ID,User.ID,User.Name,KE..Up.,Novel.KE.Up.,KE.up..biomarker,Novel.other.biomarker.KE.up.,KE.Down.,Novel.KE.Down.,KE.down..biomarker,Novel.other.biomarker.KE.down.,Stressor.BA.BP.,chemical,Species.BA.BP.,Test.system.BA.BP.,Dose.concordance..EP.,Time.concordance..EP.,Correlation.KEs..BP.ES.,Evidence.level..EP.ES.BP.BA.,assay.method..EP.ES.BA.,DOI,Notes
14968846,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,eicosapentaenoic_acid_(epa),mouse,in vivo,no,no,no correlation,translational;functional,translational study,10.3390/nu11040917,
14968861,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,trans_nonachlor,rat,in vitro,yes,nomeasure,positive correlation,translational;functional,translational study;inhibitor/inducer study,:10.1002/tox.22583,tg accumulation in liver was also time-dependent. compound is an pxr agonist however futher studies niet to point this out
14968878,5829,anna.s.rapisarda,de_novo_lipogenesis_fa_synthesis,NA,acc;fasn(fas);scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,rifampicin,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,other;transcriptional study,10.1371/journal.pone.0165787,ke down biomarker are studied with oil red staining
14968916,7548,sara.sepehri,de_novo_lipogenesis_fa_synthesis,NA,pparg;dgat2 ,"plin2, lrp1",liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,valproic_acid_(vpa),mouse,in vitro,yes,no,positive correlation,transcriptional,transcriptional study,https://doi.org/10.1155/2016/9576503,NA
14968928,7736,joost.boeckmans,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,clozapine,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,https://doi.org/ 10.3390/ijms22136680,
14968928,7736,joost.boeckmans,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,clozapine,mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study,https://doi.org/ 10.3390/ijms22136680,
14969045,5829,anna.s.rapisarda,de_novo_lipogenesis_fa_synthesis,NA,chrebp,NA,liver_triglyceride_accumulation,NA,other,ihcl,food supplement,glucose,rat,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study,10.3390/nu9050476,upregulation of chrebp protein levels was accompanied byvities of pyruvate kinase
14969045,5829,anna.s.rapisarda,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,other,ihcl,food supplement,fructose,rat,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study,10.3390/nu9050476,
14969045,5829,anna.s.rapisarda,de_novo_lipogenesis_fa_synthesis,NA,acc,NA,liver_triglyceride_accumulation,NA,other,ihcl,food supplement,fructose,rat,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study,10.3390/nu9050476,significantly increased the hepatic concentration of the acc product malonyl-coa
14969057,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride;ast;novel,"alt, mda",pharmaceutical,tyloxapol,mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study;inhibitor/inducer study,10.1155/2020/2940746,serum biomarkers
14969110,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,bml_275,rat,in vitro,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,10.1159/000487980,NA
14969140,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,octyl_gallate_(og),human,in vitro,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,(http://creativecommons.org/licenses/by/4.0/).,NA
14969143,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);acc,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,bisphenol_a_(bpa), rat,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational;functional,translational study;transcriptional study;inhibitor/inducer study,10.3390/ijerph16214152,lipid droplets increase in HE staining results.
14969143,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);acc;fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,13%_frutose, rat,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational;functional,translational study;transcriptional study;inhibitor/inducer study,10.3390/ijerph16214152,lipid droplets increase in HE staining results.
14969143,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);acc;fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,20%_frutose, rat,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational;functional,translational study;transcriptional study;inhibitor/inducer study,10.3390/ijerph16214152,lipid droplets increase in HE staining results.
14969189,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);scd1;fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,phtpp,human,in vitro,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,https://doi.org/10.3390/nu13114015,erb dowregulation leads to upregulation of lipogenesis via akt2
14969218,5956,birgitte.lindeman,de_novo_lipogenesis_fa_synthesis,NA,scd1;fasn(fas),NA,liver_triglyceride_accumulation,NA,other,number and volume of lipid droplets per cell,pharmaceutical,entinostat,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;functional,other,doi: 10.1038/srep28025,entinostat
14969218,5956,birgitte.lindeman,de_novo_lipogenesis_fa_synthesis,NA,scd1;other,gpam,liver_triglyceride_accumulation,NA,other,number and volume of lipid droplets per cell,pharmaceutical,entinostat,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;functional,other,doi: 10.1038/srep28025,entinostat and oa
14969227,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);srebf1(srebp1-1c);scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,t0901317,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;inhibitor/inducer study;translational study,10.1038/srep25237,NA
14969251,4983,tamara.vanhaecke,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);scd1;fasn(fas);acc;novel,elovl6,liver_triglyceride_accumulation,NA,not defined,NA,food supplement,linoleic_acid,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1371/journal.pone.0192447.g003,two endpoints for lipid not for gene expression
14969251,4983,tamara.vanhaecke,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);scd1;fasn(fas);acc;novel,elovl6,liver_triglyceride_accumulation,NA,not defined,NA,food supplement,linoleic_acid,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1371/journal.pone.0192447.g003,two endpoints for lipid not for gene expression
14969428,4990,ramiro.jover,de_novo_lipogenesis_fa_synthesis,NA,chrebp,NA,liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,valproic_acid_(vpa),human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,translational study;transcriptional study,10.3389/fphar.2019.00819,figure 6b. figure 5d. figure 8
14969442,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);fasn(fas),NA,liver_triglyceride_accumulation,NA,not defined,NA,alcohol,ethanol,rat,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;inhibitor/inducer study,10.3892/mmr.2017.7295,NA
14969450,5956,birgitte.lindeman,de_novo_lipogenesis_fa_synthesis,NA,other,p-acc,liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,permethrin,human,in vitro,yes,nomeasure,negative correlation,functional;translational,other,doi:10.1016/j.fct.2019.02.005,
14969452,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,tunicamycin,mouse,in vitro,nomeasure,nomeasure,positive correlation,functional,knockout study,https://doi.org/10.1096/fj.20190 3292rr,primary mouse hepatocytes were isolated from mice knockout models
14969458,7736,joost.boeckmans,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc,NA,liver_triglyceride_accumulation,mirna-122,not defined,NA,food supplement,palmitic_acid,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,10.3892/mmr.2021.11974,
14969458,7736,joost.boeckmans,de_novo_lipogenesis_fa_synthesis,NA,acc;fasn(fas),NA,liver_triglyceride_accumulation,mirna-122,not defined,NA,food supplement,palmitic_acid,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,10.3892/mmr.2021.11974,
14969504,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,thioactamide,rat,in vivo,nomeasure,nomeasure,positive correlation,translational;functional,translational study;inhibitor/inducer study,10.3390/md17060317,NA
14969522,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);scd1;acc;novel,elovl6,liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,sirtinol,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional,inhibitor/inducer study,10.1371/journal.,sirtinol is a selective inhibitor for sirt1
14969584,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,not defined,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study;knockout study,10.1111/acer.13049.,
14969587,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,not defined,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,10.1038/srep33513,NA
14969313,5829,anna.s.rapisarda,de_novo_lipogenesis_fa_synthesis,NA,scd1,NA,protein_kinase_changes_novel_ampk,NA,novel_ampk,ampk,food supplement,sodium_palmitate,mouse,in vitro,nomeasure,nomeasure,negative correlation,translational,translational study;inhibitor/inducer study,10.18632/aging.103082,
14969313,5829,anna.s.rapisarda,protein_kinase_changes_novel_ampk,NA,novel_ampk,ampk,novel_lipophagy,lipophagy,not defiend ,NA,food supplement,sodium_palmitate,mouse,in vitro,nomeasure,nomeasure,positive correlation,translational,translational study;inhibitor/inducer study,10.18632/aging.103082,
14969313,5829,anna.s.rapisarda,novel_lipophagy,lipophagy,not defined ,NA,liver_triglyceride_accumulation,NA,triglyceride ,NA,food supplement,sodium_palmitate,mouse,in vitro,nomeasure,nomeasure,negative correlation,translational;functional ,translational study;inhibitor/inducer study,10.18632/aging.103082,
14969313,5829,anna.s.rapisarda,liver_triglyceride_accumulation,NA,triglyceride ,NA,steatosis,NA,triglyceride ,NA,food supplement,sodium_palmitate,mouse,in vitro,nomeasure,nomeasure,positive correlation,functional,other ,10.18632/aging.103082,
14968068,7548,sara.sepehri,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,novel_oxidative_stress,oxidative stress,novel,superoxide dismutase,pollutant,mono_2_ethylhexyl_phthalate,human,in vitro,nomeasure,nomeasure,negative correlation,translational,translational study,https://doi.org/10.1016/j.ecoenv.2019.109611,NA
14968068,7548,sara.sepehri,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,novel_oxidative_stress,oxidative stress,novel,tbars,pollutant,mono_2_ethylhexyl_phthalate,human,in vitro,nomeasure,nomeasure,positive correlation,translational,translational study,https://doi.org/10.1016/j.ecoenv.2019.109611,NA
14968181,7549,marth.stinckens,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);ppara;scd1;acox1,NA,novel_oxidative_stress,oxidative stress,not defined,NA,pharmaceutical,anabolic_steroids,mouse,in vivo,yes,no,positive correlation,functional,transcriptional study;other,10.1016/j.fct.2018.04.056,NA
14968297,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,not defined,NA,steatosis,NA,triglyceride,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study;inhibitor/inducer study,https://doi.org/10.1016/j.cbi.2018.04.002,triglicerides in the liver
14968600,7075,graciela.lopezsoop,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc;other,hmg-coa,steatosis,NA,ast;triglyceride;other,hdl,food supplement,homocysteine,mouse,in vitro,nomeasure,nomeasure,positive correlation,translational,translational study,doi:10.3390/nu9040346,
14968600,7075,graciela.lopezsoop,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,steatosis,NA,ast;triglyceride;other,hdl,food supplement,methionine,mouse,in vitro,nomeasure,nomeasure,positive correlation,translational,translational study,doi:10.3390/nu9040346,
14969186,7549,marth.stinckens,de_novo_lipogenesis_fa_synthesis,NA,acc;srebf1(srebp1-1c);other,fas,steatosis,NA,not defined,NA,pollutant,perfluorobutanesulfonic_acid_(pfbs),human,in vitro,yes,yes,positive correlation,functional,other,10.1080/02772248.2020.1808894,NA
14969261,7736,joost.boeckmans,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,steatosis,NA,triglyceride,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,10.1093/toxsci/kfw228,he staining
14969338,7549,marth.stinckens,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc,NA,steatosis,NA,not defined,NA,pharmaceutical,nampt_inhibitor_(fk866),mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,other,10.1186/s12944-017-0464-z,NA
14969461,4990,ramiro.jover,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);fasn(fas);other,"elovl6, mei",steatosis,NA,not defined,NA,pharmaceutical,ds_7250,rat,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1177/0192623318765909,"[trans-4-(f[6-f[(4-methylphenyl) carbamoyl]aminog-3,4-dihydroisoquinolin-2(1 h)-yl]carbonylgoxy) cyclohexyl]acetic acid. c26h31n3o5. table 4."
14968047,7544,alexandra.gatzios,de_novo_lipogenesis_tg_synthesis,NA,dgat2,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study,10.1016/j.cbi.2017.08.006,article claims ppara to be crucial regulator of these genes
14968077,6181,anouk.verhoeven,de_novo_lipogenesis_tg_synthesis,NA,novel,gpat and dgat1,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,benzobromarone,mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.bbadis.2018.03.009,dgat1 and gpat increased dose-depedently
14968077,6181,anouk.verhoeven,de_novo_lipogenesis_tg_synthesis,NA,novel;dgat2,gpat and dgat,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,benzobromarone,human,in vitro,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.bbadis.2018.03.009,dgat1 and gpat and dgat2 increased dose-depedently
14968089,6181,anouk.verhoeven,de_novo_lipogenesis_tg_synthesis,NA,dgat2,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,estradiol,fish,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.cbpb.2019.110335,dgat increased dose dependently
14968220,6181,anouk.verhoeven,de_novo_lipogenesis_tg_synthesis,NA,dgat2,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,fluoxetine,mouse,in vitro,yes,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study,10.1002/jat.4109,dgat2 corresponds to tg synthesis
14968281,6181,anouk.verhoeven,de_novo_lipogenesis_tg_synthesis,NA,dgat2,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,valproic_acid_(vpa),human,in vitro,nomeasure,nomeasure,positive correlation,translational;transcriptional,translational study;inhibitor/inducer study;transcriptional study,10.1016/j.tox.2020.152585.,NA
14968281,6181,anouk.verhoeven,de_novo_lipogenesis_tg_synthesis,NA,dgat2,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,valproic_acid_(vpa),mouse,in vivo,nomeasure,nomeasure,positive correlation,translational;transcriptional,translational study;inhibitor/inducer study;transcriptional study,10.1016/j.tox.2020.152585.,NA
14968292,6181,anouk.verhoeven,de_novo_lipogenesis_tg_synthesis,NA,dgat2;novel,gpat1,liver_triglyceride_accumulation,NA,triglyceride;novel,adrp,pharmaceutical,valproic_acid_(vpa),human,in vitro,yes,yes,positive correlation,transcriptional,transcriptional study,https://doi.org/10.1016/j.bcp.2020.113860,genes for tg synthesis where increased over time
14968326,6181,anouk.verhoeven,de_novo_lipogenesis_tg_synthesis,NA,novel,gpat (glycerol phosphate acyltransferase ) and fad (fatty acid desaturase),liver_triglyceride_accumulation,NA,not defined,NA,pollutant,perfluorooctanoic_acid_(pfoa),rhabditidae,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.scitotenv.2019.134762,species: nematode. also looked over regeneration time and saw in later stages consempatory pathways for this tg accumulation
14968405,6128,jian.jiang,de_novo_lipogenesis_tg_synthesis,NA,novel,"acs1, dgat1, lpin1",liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,triclosan_(tcs),mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.jhazmat.2019.121310,
